algorithm,CALIBRATION,FAIRNESS_METRIC,LAMBDA,LAMBDA_VALUE,EVALUATION_METRIC,EVALUATION_VALUE
SVDpp,LIN,KL,FIXED,0.0,MACE,0.09282467000680399
SVDpp,LIN,KL,FIXED,0.0,MAP,0.0007636661394315876
SVDpp,LIN,KL,FIXED,0.0,MRR,0.0022195418651161833
SVDpp,LIN,KL,FIXED,0.0,MRMC,0.5473033044998792
SVDpp,LIN,KL,FIXED,0.1,MACE,0.09839428712810047
SVDpp,LIN,KL,FIXED,0.1,MAP,0.0015523980359756944
SVDpp,LIN,KL,FIXED,0.1,MRR,0.004415299242725481
SVDpp,LIN,KL,FIXED,0.1,MRMC,0.19502812603743422
SVDpp,LIN,KL,FIXED,0.2,MACE,0.09840474670625347
SVDpp,LIN,KL,FIXED,0.2,MAP,0.0015523980359756944
SVDpp,LIN,KL,FIXED,0.2,MRR,0.004415299242725481
SVDpp,LIN,KL,FIXED,0.2,MRMC,0.1950288390199807
SVDpp,LIN,KL,FIXED,0.3,MACE,0.09842504113317252
SVDpp,LIN,KL,FIXED,0.3,MAP,0.0015523980359756944
SVDpp,LIN,KL,FIXED,0.3,MRR,0.004415299242725481
SVDpp,LIN,KL,FIXED,0.3,MRMC,0.1950122131315013
SVDpp,LIN,KL,FIXED,0.4,MACE,0.09840829962268818
SVDpp,LIN,KL,FIXED,0.4,MAP,0.0015523980359756944
SVDpp,LIN,KL,FIXED,0.4,MRR,0.004415299242725481
SVDpp,LIN,KL,FIXED,0.4,MRMC,0.1950269237233507
SVDpp,LIN,KL,FIXED,0.5,MACE,0.09846603698892806
SVDpp,LIN,KL,FIXED,0.5,MAP,0.0015477589563690883
SVDpp,LIN,KL,FIXED,0.5,MRR,0.0044060210835122696
SVDpp,LIN,KL,FIXED,0.5,MRMC,0.19501369891893663
SVDpp,LIN,KL,FIXED,0.6,MACE,0.09843082946743364
SVDpp,LIN,KL,FIXED,0.6,MAP,0.0015477589563690883
SVDpp,LIN,KL,FIXED,0.6,MRR,0.0044060210835122696
SVDpp,LIN,KL,FIXED,0.6,MRMC,0.19500854858553962
SVDpp,LIN,KL,FIXED,0.7,MACE,0.09839950640192986
SVDpp,LIN,KL,FIXED,0.7,MAP,0.001508046962212856
SVDpp,LIN,KL,FIXED,0.7,MRR,0.004292621359795232
SVDpp,LIN,KL,FIXED,0.7,MRMC,0.19501927591584908
SVDpp,LIN,KL,FIXED,0.8,MACE,0.09841201088637347
