algorithm,CALIBRATION,FAIRNESS_METRIC,LAMBDA,LAMBDA_VALUE,EVALUATION_METRIC,EVALUATION_VALUE
SVDpp,LIN,KL,FIXED,0.0,MACE,0.092876890785757
SVDpp,LIN,KL,FIXED,0.0,MAP,0.000853396738997036
SVDpp,LIN,KL,FIXED,0.0,MRR,0.002405031413196193
SVDpp,LIN,KL,FIXED,0.0,MRMC,0.5464027966091035
SVDpp,LIN,KL,FIXED,0.1,MACE,0.09831243685697201
SVDpp,LIN,KL,FIXED,0.1,MAP,0.0016171610600075996
SVDpp,LIN,KL,FIXED,0.1,MRR,0.004639030515816561
SVDpp,LIN,KL,FIXED,0.1,MRMC,0.19452695336643164
SVDpp,LIN,KL,FIXED,0.2,MACE,0.09831806601925731
SVDpp,LIN,KL,FIXED,0.2,MAP,0.0016223155929038285
SVDpp,LIN,KL,FIXED,0.2,MRR,0.0046544941145052485
SVDpp,LIN,KL,FIXED,0.2,MRMC,0.19452694626025702
SVDpp,LIN,KL,FIXED,0.3,MACE,0.09833325044844436
SVDpp,LIN,KL,FIXED,0.3,MAP,0.0016250818588914712
SVDpp,LIN,KL,FIXED,0.3,MRR,0.004662913184902422
SVDpp,LIN,KL,FIXED,0.3,MRMC,0.19452375995311644
SVDpp,LIN,KL,FIXED,0.4,MACE,0.09832382878703531
SVDpp,LIN,KL,FIXED,0.4,MAP,0.0016212846863245826
SVDpp,LIN,KL,FIXED,0.4,MRR,0.004653021390820611
SVDpp,LIN,KL,FIXED,0.4,MRMC,0.19452295429477728
SVDpp,LIN,KL,FIXED,0.5,MACE,0.09836742830044741
SVDpp,LIN,KL,FIXED,0.5,MAP,0.001619738326455714
SVDpp,LIN,KL,FIXED,0.5,MRR,0.004649928671082874
SVDpp,LIN,KL,FIXED,0.5,MRMC,0.19451688228572614
SVDpp,LIN,KL,FIXED,0.6,MACE,0.09833797942310467
SVDpp,LIN,KL,FIXED,0.6,MAP,0.0016235354990226025
SVDpp,LIN,KL,FIXED,0.6,MRR,0.004659820465164685
SVDpp,LIN,KL,FIXED,0.6,MRMC,0.1945203864550019
SVDpp,LIN,KL,FIXED,0.7,MACE,0.09832242386754914
SVDpp,LIN,KL,FIXED,0.7,MAP,0.0016085799900051152
SVDpp,LIN,KL,FIXED,0.7,MRR,0.004619860562521539
SVDpp,LIN,KL,FIXED,0.7,MRMC,0.19452246953525823
SVDpp,LIN,KL,FIXED,0.8,MACE,0.0983304294756809
SVDpp,LIN,KL,FIXED,0.8,MAP,0.0016212846863245826
SVDpp,LIN,KL,FIXED,0.8,MRR,0.004653021390820611
SVDpp,LIN,KL,FIXED,0.8,MRMC,0.1945207710033332
SVDpp,LIN,KL,FIXED,0.9,MACE,0.09833507144182592
SVDpp,LIN,KL,FIXED,0.9,MAP,0.0016212846863245826
SVDpp,LIN,KL,FIXED,0.9,MRR,0.004653021390820611
SVDpp,LIN,KL,FIXED,0.9,MRMC,0.19452253462610605
SVDpp,LIN,KL,FIXED,1.0,MACE,0.09837129749902063
SVDpp,LIN,KL,FIXED,1.0,MAP,0.001619738326455714
SVDpp,LIN,KL,FIXED,1.0,MRR,0.004649928671082874
SVDpp,LIN,KL,FIXED,1.0,MRMC,0.19451566865940892
SVDpp,LIN,KL,FIXED,CGR,MACE,0.09833274942784682
SVDpp,LIN,KL,FIXED,CGR,MAP,0.0016212846863245826
SVDpp,LIN,KL,FIXED,CGR,MRR,0.004653021390820611
SVDpp,LIN,KL,FIXED,CGR,MRMC,0.19452480240276274
SVDpp,LIN,KL,FIXED,VAR,MACE,0.09832255169996496
SVDpp,LIN,KL,FIXED,VAR,MAP,0.0016240509523122255
SVDpp,LIN,KL,FIXED,VAR,MRR,0.0046614404612177855
SVDpp,LIN,KL,FIXED,VAR,MRMC,0.1945204379872504
SVDpp,LIN,HE,FIXED,0.0,MACE,0.092876890785757
SVDpp,LIN,HE,FIXED,0.0,MAP,0.000853396738997036
SVDpp,LIN,HE,FIXED,0.0,MRR,0.002405031413196193
SVDpp,LIN,HE,FIXED,0.0,MRMC,0.8642072987722261
SVDpp,LIN,HE,FIXED,0.1,MACE,0.06171144594956806
SVDpp,LIN,HE,FIXED,0.1,MAP,0.0019064678096966093
SVDpp,LIN,HE,FIXED,0.1,MRR,0.005350184237732949
SVDpp,LIN,HE,FIXED,0.1,MRMC,0.3899972700441631
SVDpp,LIN,HE,FIXED,0.2,MACE,0.061724159914228575
SVDpp,LIN,HE,FIXED,0.2,MAP,0.0019064678096966093
SVDpp,LIN,HE,FIXED,0.2,MRR,0.005350184237732949
SVDpp,LIN,HE,FIXED,0.2,MRMC,0.38999240356861514
SVDpp,LIN,HE,FIXED,0.3,MACE,0.061725667512010064
SVDpp,LIN,HE,FIXED,0.3,MAP,0.0019064678096966093
SVDpp,LIN,HE,FIXED,0.3,MRR,0.005350184237732949
SVDpp,LIN,HE,FIXED,0.3,MRMC,0.3900000968948644
SVDpp,LIN,HE,FIXED,0.4,MACE,0.06172694954743202
SVDpp,LIN,HE,FIXED,0.4,MAP,0.0019064678096966093
SVDpp,LIN,HE,FIXED,0.4,MRR,0.005350184237732949
SVDpp,LIN,HE,FIXED,0.4,MRMC,0.38999040669966706
SVDpp,LIN,HE,FIXED,0.5,MACE,0.061755705655553494
SVDpp,LIN,HE,FIXED,0.5,MAP,0.0019064678096966093
SVDpp,LIN,HE,FIXED,0.5,MRR,0.005350184237732949
SVDpp,LIN,HE,FIXED,0.5,MRMC,0.38999108891354267
SVDpp,LIN,HE,FIXED,0.6,MACE,0.06175349497948496
SVDpp,LIN,HE,FIXED,0.6,MAP,0.0019070863536441564
SVDpp,LIN,HE,FIXED,0.6,MRR,0.005356369677208424
SVDpp,LIN,HE,FIXED,0.6,MRMC,0.3899882767249123
SVDpp,LIN,HE,FIXED,0.7,MACE,0.06177685738438383
SVDpp,LIN,HE,FIXED,0.7,MAP,0.0019070863536441564
SVDpp,LIN,HE,FIXED,0.7,MRR,0.005356369677208424
SVDpp,LIN,HE,FIXED,0.7,MRMC,0.38998270287347964
SVDpp,LIN,HE,FIXED,0.8,MACE,0.061778265190408445
SVDpp,LIN,HE,FIXED,0.8,MAP,0.0019070863536441564
SVDpp,LIN,HE,FIXED,0.8,MRR,0.005356369677208424
SVDpp,LIN,HE,FIXED,0.8,MRMC,0.38998928821736345
