algorithm,CALIBRATION,FAIRNESS_METRIC,LAMBDA,LAMBDA_VALUE,EVALUATION_METRIC,EVALUATION_VALUE
USER_KNN,LIN,KL,FIXED,0.0,MACE,0.09057240304323623
USER_KNN,LIN,KL,FIXED,0.0,MAP,0.00085950363320933
USER_KNN,LIN,KL,FIXED,0.0,MRR,0.003089553381815397
USER_KNN,LIN,KL,FIXED,0.0,MRMC,0.5774354842224244
USER_KNN,LIN,KL,FIXED,0.1,MACE,0.10225813570854209
USER_KNN,LIN,KL,FIXED,0.1,MAP,0.001643022087909822
USER_KNN,LIN,KL,FIXED,0.1,MRR,0.004580833384878662
USER_KNN,LIN,KL,FIXED,0.1,MRMC,0.1610129470476037
USER_KNN,LIN,KL,FIXED,0.2,MACE,0.1022855520504732
USER_KNN,LIN,KL,FIXED,0.2,MAP,0.001643022087909822
USER_KNN,LIN,KL,FIXED,0.2,MRR,0.004580833384878662
USER_KNN,LIN,KL,FIXED,0.2,MRMC,0.16101014927046067
USER_KNN,LIN,KL,FIXED,0.3,MACE,0.10231724253108183
USER_KNN,LIN,KL,FIXED,0.3,MAP,0.001643022087909822
USER_KNN,LIN,KL,FIXED,0.3,MRR,0.004580833384878662
USER_KNN,LIN,KL,FIXED,0.3,MRMC,0.1609886450411256
USER_KNN,LIN,KL,FIXED,0.4,MACE,0.10232908641058948
USER_KNN,LIN,KL,FIXED,0.4,MAP,0.001643022087909822
USER_KNN,LIN,KL,FIXED,0.4,MRR,0.004580833384878662
USER_KNN,LIN,KL,FIXED,0.4,MRMC,0.16100690877666263
USER_KNN,LIN,KL,FIXED,0.5,MACE,0.10236897012432736
USER_KNN,LIN,KL,FIXED,0.5,MAP,0.001643022087909822
USER_KNN,LIN,KL,FIXED,0.5,MRR,0.004580833384878662
USER_KNN,LIN,KL,FIXED,0.5,MRMC,0.16099177852216268
USER_KNN,LIN,KL,FIXED,0.6,MACE,0.10232444609389496
USER_KNN,LIN,KL,FIXED,0.6,MAP,0.001643022087909822
USER_KNN,LIN,KL,FIXED,0.6,MRR,0.004580833384878662
USER_KNN,LIN,KL,FIXED,0.6,MRMC,0.16098367828821533
USER_KNN,LIN,KL,FIXED,0.7,MACE,0.1023349823714975
USER_KNN,LIN,KL,FIXED,0.7,MAP,0.001643022087909822
USER_KNN,LIN,KL,FIXED,0.7,MRR,0.004580833384878662
USER_KNN,LIN,KL,FIXED,0.7,MRMC,0.16098709733459024
USER_KNN,LIN,KL,FIXED,0.8,MACE,0.102333466938826
USER_KNN,LIN,KL,FIXED,0.8,MAP,0.001643022087909822
USER_KNN,LIN,KL,FIXED,0.8,MRR,0.004580833384878662
USER_KNN,LIN,KL,FIXED,0.8,MRMC,0.16100354335095182
USER_KNN,LIN,KL,FIXED,0.9,MACE,0.10234478258180243
USER_KNN,LIN,KL,FIXED,0.9,MAP,0.001643022087909822
USER_KNN,LIN,KL,FIXED,0.9,MRR,0.004580833384878662
USER_KNN,LIN,KL,FIXED,0.9,MRMC,0.16100801285014363
USER_KNN,LIN,KL,FIXED,1.0,MACE,0.10237278282922004
USER_KNN,LIN,KL,FIXED,1.0,MAP,0.001643022087909822
USER_KNN,LIN,KL,FIXED,1.0,MRR,0.004580833384878662
USER_KNN,LIN,KL,FIXED,1.0,MRMC,0.16098965557693168
USER_KNN,LIN,KL,FIXED,CGR,MACE,0.10230828848889714
USER_KNN,LIN,KL,FIXED,CGR,MAP,0.001643022087909822
USER_KNN,LIN,KL,FIXED,CGR,MRR,0.004580833384878662
USER_KNN,LIN,KL,FIXED,CGR,MRMC,0.1609947251762239
USER_KNN,LIN,KL,FIXED,VAR,MACE,0.10234935733283851
USER_KNN,LIN,KL,FIXED,VAR,MAP,0.001643022087909822
USER_KNN,LIN,KL,FIXED,VAR,MRR,0.004580833384878662
USER_KNN,LIN,KL,FIXED,VAR,MRMC,0.1609960128518608
USER_KNN,LIN,HE,FIXED,0.0,MACE,0.09057240304323623
USER_KNN,LIN,HE,FIXED,0.0,MAP,0.00085950363320933
USER_KNN,LIN,HE,FIXED,0.0,MRR,0.003089553381815397
USER_KNN,LIN,HE,FIXED,0.0,MRMC,0.89649023467838
USER_KNN,LIN,HE,FIXED,0.1,MACE,0.06788688191996041
USER_KNN,LIN,HE,FIXED,0.1,MAP,0.0018805945090970143
USER_KNN,LIN,HE,FIXED,0.1,MRR,0.005390095049586607
USER_KNN,LIN,HE,FIXED,0.1,MRMC,0.31827503698010023
USER_KNN,LIN,HE,FIXED,0.2,MACE,0.06789111028638585
USER_KNN,LIN,HE,FIXED,0.2,MAP,0.0018805945090970143
USER_KNN,LIN,HE,FIXED,0.2,MRR,0.005390095049586607
USER_KNN,LIN,HE,FIXED,0.2,MRMC,0.31826509802086517
USER_KNN,LIN,HE,FIXED,0.3,MACE,0.06790831941609451
USER_KNN,LIN,HE,FIXED,0.3,MAP,0.0018805945090970143
USER_KNN,LIN,HE,FIXED,0.3,MRR,0.005390095049586607
USER_KNN,LIN,HE,FIXED,0.3,MRMC,0.3182877432563444
USER_KNN,LIN,HE,FIXED,0.4,MACE,0.0679125341745531
USER_KNN,LIN,HE,FIXED,0.4,MAP,0.0018805945090970143
USER_KNN,LIN,HE,FIXED,0.4,MRR,0.005390095049586607
USER_KNN,LIN,HE,FIXED,0.4,MRMC,0.31824755820039763
USER_KNN,LIN,HE,FIXED,0.5,MACE,0.06794003216428526
USER_KNN,LIN,HE,FIXED,0.5,MAP,0.0018805945090970143
USER_KNN,LIN,HE,FIXED,0.5,MRR,0.005390095049586607
USER_KNN,LIN,HE,FIXED,0.5,MRMC,0.3182295516780973
USER_KNN,LIN,HE,FIXED,0.6,MACE,0.06793016886249768
USER_KNN,LIN,HE,FIXED,0.6,MAP,0.0018870892205462627
USER_KNN,LIN,HE,FIXED,0.6,MRR,0.005417929527226243
USER_KNN,LIN,HE,FIXED,0.6,MRMC,0.3182084587578052
USER_KNN,LIN,HE,FIXED,0.7,MACE,0.06795960784313726
USER_KNN,LIN,HE,FIXED,0.7,MAP,0.0018805945090970143
USER_KNN,LIN,HE,FIXED,0.7,MRR,0.005390095049586607
USER_KNN,LIN,HE,FIXED,0.7,MRMC,0.31821108710617246
USER_KNN,LIN,HE,FIXED,0.8,MACE,0.06793851796870168
USER_KNN,LIN,HE,FIXED,0.8,MAP,0.0018870892205462627
USER_KNN,LIN,HE,FIXED,0.8,MRR,0.005417929527226243
USER_KNN,LIN,HE,FIXED,0.8,MRMC,0.3182017835489218
USER_KNN,LIN,HE,FIXED,0.9,MACE,0.06795549452588608
USER_KNN,LIN,HE,FIXED,0.9,MAP,0.0018858742235064372
USER_KNN,LIN,HE,FIXED,0.9,MRR,0.005408356823276104
USER_KNN,LIN,HE,FIXED,0.9,MRMC,0.3181883846475465
USER_KNN,LIN,HE,FIXED,1.0,MACE,0.06795794148574257
USER_KNN,LIN,HE,FIXED,1.0,MAP,0.001886934584559376
USER_KNN,LIN,HE,FIXED,1.0,MRR,0.005411228634461145
USER_KNN,LIN,HE,FIXED,1.0,MRMC,0.3181853455635976
USER_KNN,LIN,HE,FIXED,CGR,MACE,0.06793287066246056
USER_KNN,LIN,HE,FIXED,CGR,MAP,0.0018870892205462627
USER_KNN,LIN,HE,FIXED,CGR,MRR,0.005417929527226243
USER_KNN,LIN,HE,FIXED,CGR,MRMC,0.3182468932439829
