algorithm,CALIBRATION,FAIRNESS_METRIC,LAMBDA,LAMBDA_VALUE,EVALUATION_METRIC,EVALUATION_VALUE
USER_KNN,LIN,KL,FIXED,0.0,MACE,0.08950089523927342
USER_KNN,LIN,KL,FIXED,0.0,MAP,0.0007742304773293825
USER_KNN,LIN,KL,FIXED,0.0,MRR,0.002783668672516325
USER_KNN,LIN,KL,FIXED,0.0,MRMC,0.5804624665799412
USER_KNN,LIN,KL,FIXED,0.1,MACE,0.10264457640048658
USER_KNN,LIN,KL,FIXED,0.1,MAP,0.0018947473837063744
USER_KNN,LIN,KL,FIXED,0.1,MRR,0.005328584290358274
USER_KNN,LIN,KL,FIXED,0.1,MRMC,0.16173709873877973
USER_KNN,LIN,KL,FIXED,0.2,MACE,0.10266852106142142
USER_KNN,LIN,KL,FIXED,0.2,MAP,0.0018947473837063744
USER_KNN,LIN,KL,FIXED,0.2,MRR,0.005328584290358274
USER_KNN,LIN,KL,FIXED,0.2,MRMC,0.1617285535182387
USER_KNN,LIN,KL,FIXED,0.3,MACE,0.10268557720459372
USER_KNN,LIN,KL,FIXED,0.3,MAP,0.0018968091968648657
USER_KNN,LIN,KL,FIXED,0.3,MRR,0.005333738823254504
USER_KNN,LIN,KL,FIXED,0.3,MRMC,0.16171039197731463
USER_KNN,LIN,KL,FIXED,0.4,MACE,0.10268337560050307
USER_KNN,LIN,KL,FIXED,0.4,MAP,0.0018968091968648657
USER_KNN,LIN,KL,FIXED,0.4,MRR,0.005333738823254504
USER_KNN,LIN,KL,FIXED,0.4,MRMC,0.16172040320801462
USER_KNN,LIN,KL,FIXED,0.5,MACE,0.10273202243252716
USER_KNN,LIN,KL,FIXED,0.5,MAP,0.0018968091968648657
USER_KNN,LIN,KL,FIXED,0.5,MRR,0.005333738823254504
USER_KNN,LIN,KL,FIXED,0.5,MRMC,0.16170605246347147
USER_KNN,LIN,KL,FIXED,0.6,MACE,0.10269303272097481
USER_KNN,LIN,KL,FIXED,0.6,MAP,0.0018968091968648657
USER_KNN,LIN,KL,FIXED,0.6,MRR,0.005333738823254504
USER_KNN,LIN,KL,FIXED,0.6,MRMC,0.16170664757372677
USER_KNN,LIN,KL,FIXED,0.7,MACE,0.10268858910125565
USER_KNN,LIN,KL,FIXED,0.7,MAP,0.0018975823767993002
USER_KNN,LIN,KL,FIXED,0.7,MRR,0.0053345979120705414
USER_KNN,LIN,KL,FIXED,0.7,MRMC,0.16171260328800485
USER_KNN,LIN,KL,FIXED,0.8,MACE,0.102686371827385
USER_KNN,LIN,KL,FIXED,0.8,MAP,0.0018995926446288298
USER_KNN,LIN,KL,FIXED,0.8,MRR,0.005338893356150731
USER_KNN,LIN,KL,FIXED,0.8,MRMC,0.1617199329405122
USER_KNN,LIN,KL,FIXED,0.9,MACE,0.10270814292488815
USER_KNN,LIN,KL,FIXED,0.9,MAP,0.0018907538479815342
USER_KNN,LIN,KL,FIXED,0.9,MRR,0.0053182752245658155
USER_KNN,LIN,KL,FIXED,0.9,MRMC,0.16172410016683988
USER_KNN,LIN,KL,FIXED,1.0,MACE,0.1027347535102369
USER_KNN,LIN,KL,FIXED,1.0,MAP,0.0018995926446288298
USER_KNN,LIN,KL,FIXED,1.0,MRR,0.005338893356150731
USER_KNN,LIN,KL,FIXED,1.0,MRMC,0.1617042016140951
USER_KNN,LIN,KL,FIXED,CGR,MACE,0.10268139914640935
USER_KNN,LIN,KL,FIXED,CGR,MAP,0.0018980462847599609
USER_KNN,LIN,KL,FIXED,CGR,MRR,0.005335800636412996
USER_KNN,LIN,KL,FIXED,CGR,MRMC,0.16171262572523448
USER_KNN,LIN,KL,FIXED,VAR,MACE,0.10270549143316633
USER_KNN,LIN,KL,FIXED,VAR,MAP,0.0018995926446288298
USER_KNN,LIN,KL,FIXED,VAR,MRR,0.005338893356150731
USER_KNN,LIN,KL,FIXED,VAR,MRMC,0.161725848089998
USER_KNN,LIN,HE,FIXED,0.0,MACE,0.08950089523927342
USER_KNN,LIN,HE,FIXED,0.0,MAP,0.0007742304773293825
USER_KNN,LIN,HE,FIXED,0.0,MRR,0.002783668672516325
USER_KNN,LIN,HE,FIXED,0.0,MRMC,0.8963670654347129
USER_KNN,LIN,HE,FIXED,0.1,MACE,0.06798653883425085
USER_KNN,LIN,HE,FIXED,0.1,MAP,0.0021122171265982735
USER_KNN,LIN,HE,FIXED,0.1,MRR,0.005992758126734746
USER_KNN,LIN,HE,FIXED,0.1,MRMC,0.3201122627177546
USER_KNN,LIN,HE,FIXED,0.2,MACE,0.0679912826539659
USER_KNN,LIN,HE,FIXED,0.2,MAP,0.0021122171265982735
USER_KNN,LIN,HE,FIXED,0.2,MRR,0.005992758126734746
USER_KNN,LIN,HE,FIXED,0.2,MRMC,0.320113947078297
USER_KNN,LIN,HE,FIXED,0.3,MACE,0.06800603451475228
USER_KNN,LIN,HE,FIXED,0.3,MAP,0.0021122171265982735
USER_KNN,LIN,HE,FIXED,0.3,MRR,0.005992758126734746
USER_KNN,LIN,HE,FIXED,0.3,MRMC,0.3201165847935683
USER_KNN,LIN,HE,FIXED,0.4,MACE,0.06801510731737491
USER_KNN,LIN,HE,FIXED,0.4,MAP,0.0021122171265982735
USER_KNN,LIN,HE,FIXED,0.4,MRR,0.005992758126734746
USER_KNN,LIN,HE,FIXED,0.4,MRMC,0.3201065181730877
USER_KNN,LIN,HE,FIXED,0.5,MACE,0.06802360116286262
USER_KNN,LIN,HE,FIXED,0.5,MAP,0.0021122171265982735
